idhh	idperson	idmother	idfather	idpartner	dag	dgn	dec	dwt	dms	dmb	dsu01	deh	drgn2	ddi	dlg_s	drgur	drgmd	drgru	les	loc	loopcount_pens	lnu	lhw_a	lhwpv_a	liwmy02_a	liwmy_a	lcb_a	liwft_s	lhw	lindi	lunmy_s	lunmy	liwmy_s	liwwh	lcs	lfs	lhwpv_h	liwmy	liwwh72_h	ypr	yemmy	yem_a	ydses_o	yptmp	yempv_a	ymwdt	ysepv_a	yprrt	yse	yemxm_s	yem	ysemy	yiy	yot	ypt	ypp	yempv_s	yivwg	ysv	pdi	poaot	poanc_s	pdinc	pdicm	pdi00	pdiot	poa00	psuwd00	poacm	poanc	poa	psuwdcm	psuot	psu	poanc00_s	poancna_s	poancrg_s	poacm_s	psuwdcm_s	bhl	bchbamtrg_s	bchbaucna_s	bchbarg_s	bchbaucrg_s	bchlgmtrg_s	bchlgrg_s	bchlgucrg_s	bchmtrg_s	bchrg_s	bchucrg_s	bma	bunct_s	bunnc_s	bunmt_s	bunctpc	bunot	bunotmy	bchbaucna02_s	bunct02_s	bhlot	bhl00	bmact_s	bpact_s	bmanc_s	bsa	bsa_s	bsarg_s	bunct	bunctmy	bunctmy_s	bunnc	bunncmy	bed	bunncmy_s	bch00_s	bchdi_s	bchbamtna_s	bch	bch00	bchdi	bchot	bfa	bho	bun	xs01111	xs01112	xs01113	xs01114	xs01115	xs01116	xs01121	xs01122	xs01123	xs01124	xs01125	xs01126	xs01127	xs01131	xs01132	xs01133	xs01134	xs01141	xs01142	xs01143	xs01144	xs01145	xs01146	xs01147	xs01151	xs01152	xs01153	xs01154	xs01155	xs01161	xs01162	xs01163	xs01164	xs01165	xs01166	xs01167	xs01168	xs01169	xs01171	xs01172	xs01173	xs01174	xs01175	xs01176	xs01177	xs01178	xs01181	xs01182	xs01183	xs01184	xs01185	xs01186	xs01191	xs01192	xs01193	xs01194	xs01211	xs01212	xs01213	xs01221	xs01222	xs01223	xs01224	xs02111	xs02121	xs02122	xs02131	xs02211	xs02212	xs02213	xs03111	xs03121	xs03122	xs03123	xs03131	xs03141	xs03211	xs03212	xs03213	xs03221	xs04111	xs04121	xs04311	xs04321	xs04411	xs04421	xs04431	xs04441	xs04511	xs04521	xs04522	xs04531	xs04541	xs04551	xs05111	xs05121	xs05131	xs05211	xs05311	xs05312	xs05313	xs05314	xs05315	xs05316	xs05317	xs05321	xs05331	xs05411	xs05412	xs05413	xs05414	xs05511	xs05521	xs05611	xs05612	xs05621	xs05622	xs06111	xs06121	xs06131	xs06211	xs06221	xs06231	xs06232	xs06233	xs06311	xs07111	xs07112	xs07121	xs07131	xs07141	xs07211	xs07221	xs07231	xs07241	xs07311	xs07321	xs07331	xs07341	xs07351	xs07361	xs08111	xs08211	xs08311	xs09111	xs09112	xs09121	xs09122	xs09131	xs09141	xs09151	xs09211	xs09221	xs09222	xs09231	xs09311	xs09321	xs09331	xs09341	xs09351	xs09411	xs09421	xs09422	xs09423	xs09424	xs09511	xs09521	xs09531	xs09541	xs09611	xs10111	xs10211	xs10311	xs10411	xs10511	xs11111	xs11112	xs11121	xs11211	xs12111	xs12121	xs12131	xs12311	xs12321	xs12322	xs12411	xs12412	xs12521	xs12531	xs12541	xs12551	xs12621	xs12711	xcc	xhcmo	xmp	xpp	xhcmomi	xhcmomc	xhcrt	xed00	xhc	xhcot	xhl00	tpr	tintcbarg_s	tintcccrg_s	tintcchrg_s	tintcdbrg_s	tintcdprg_s	tintceerg_s	tintcfarg_s	tintchkrg_s	tintclgrg_s	tintclprg_s	tintcoarg_s	tintcrg_s	tintcrtrg_s	tintcwmrg_s	tintrchlp_s	tintrchlg_s	twl	tintrch	tsceemy_s	tsctbee_s	tsceepi_s	tsceeui_s	tsceeot_s	tscee_s	tscerpi_s	tscerui_s	tscerot_s	tscer_s	tscsemy_s	tsctbse_s	tscsepi_s	tscsehl_s	tscse_s	tsctbun_s	tscuner_s	tscunee_s	tinty_s	tintaxp_s	tintbit_s	tinit_s	tintbjt_s	tinjt_s	tintp_s	tin_s	tinrg_s	tinna_s	tingt_s	tingtna_s	tingtrg_s	tinta00_s	tintach_s	tintadp_s	tintaee_s	tintb_s	tintbiy_s	tintc00_s	tintcmg_s	tintc_s	tintrch_s	kfbcc	kfb	kivho	amrtn	afc	ils_earns	ils_origy	ils_pen	ils_origrepy	ils_bensim	ils_benmt	ils_bennt	ils_ben	ils_taxsim	ils_tax	ils_taxin	ils_taxwl	ils_sicee	ils_sicer	ils_sicct	ils_sicse	ils_sicot	ils_sicdy	ils_dispy	ils_b1_boa	ils_b1_bsu	ils_b1_bdi	ils_b1_bun	ils_b1_bhl	ils_b1_bed	ils_b1_bsa	ils_b1_bcb	ils_b1_bfa	ils_b1_bho	ils_b1_bwk	ils_b2_bfaed	ils_b2_penhl	ils_b2_bsaho	ils_b2_bunwk	ils_base_tin	ils_udb_yem	ils_udb_yse	ils_udb_ypp	ils_udb_ypr	ils_udb_yiy	ils_udb_ypt	ils_udb_yot	ils_udb_xmp	ils_udb_kfbcc	ils_udb_boa	ils_udb_bsu	ils_udb_bdi	ils_udb_bun	ils_udb_bhl	ils_udb_bed	ils_udb_bsa	ils_udb_bfa	ils_udb_bho	ils_udb_tpr	ils_udb_tis	ils_udb_yds	il_sic	il_tsctbeese	il_bch00	il_bunnc	il_poanc	il_poacm	il_poacmds	il_psuwdcm	il_tinwkgr	il_tinwk	il_tinwk01	il_tinot	il_tinty	il_tintcit	il_tintbiit	il_tintbit	il_tintsit	il_tintcmo	il_tintcjt	il_tintbijt	il_tintbjt	il_tintsjt	tu_nucfam_HeadID	tu_nucfam_IsDependentChild	dct
36	3601	0	0	0	40	1	0	19628.9	1	2	0	3	30	0	0	1	0	0	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	2866.3	2866.3	0	0	0	0	0	0	17.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2866.3	134.72	44.43	2.87	182.01	676.45	164.81	22.93	864.19	0	0	0	0	0	0	0	0	2684.29	0	2467.62	524.9	0	0	21	524.9	177.73	347.17	524.9	347.17	177.73	420.83	0	0	216.67	2467.62	0	99.32	0	99.32	0	0	0	0	3	0	2866.3	2866.3	0	2866.3	0	0	0	0	524.9	524.9	524.9	0	182.01	864.19	0	0	0	182.01	2159.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2866.3	2866.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706.91	2159.39	1046.2	2866.3	2866.3	2866.3	2866.3	2684.29	0	2684.29	2866.3	2684.29	2684.29	0	2684.29	420.83	2467.62	2467.62	0	0	0	2684.29	0	0	3601	0	13
37	3701	0	0	0	40	1	0	19076.9	1	2	0	3	30	0	0	1	0	0	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	3173.4	3173.4	0	0	0	0	0	0	19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2996.1	140.82	46.44	3	190.25	707.08	172.28	23.97	903.32	0	0	0	0	0	0	0	0	2983.15	0	2766.48	614.04	0	0	21	614.04	208.16	405.87	614.04	405.87	208.16	420.83	0	0	216.67	2766.48	0	99.32	0	99.32	0	0	0	0	3	0	3173.4	3173.4	0	3173.4	0	0	0	0	614.04	614.04	614.04	0	190.25	903.32	0	0	0	190.25	2369.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3173.4	3173.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804.29	2369.11	1093.58	2996.1	3173.4	3173.4	3173.4	2983.15	0	2983.15	3173.4	2983.15	2983.15	0	2983.15	420.83	2766.48	2766.48	0	0	0	2983.15	0	0	3701	0	13
38	3801	0	0	0	40	1	0	14687.6	1	2	0	3	30	0	0	1	0	0	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	3480.5	3480.5	0	0	0	0	0	0	21.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0.04	0.01	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2996.1	140.82	46.44	3	190.25	707.08	172.28	23.97	903.32	0	0	0	0	0	0	0	0	3290.25	0	3073.58	727.05	0	0	21	727.05	247.04	480.01	727.05	480.01	247.04	420.83	0	0	216.67	3073.58	0	99.32	0	99.32	0	0	0	0	3	0	3480.5	3480.5	0	3480.5	0	0	0	0	727.05	727.05	727.05	0	190.25	903.32	0	0	0	190.25	2563.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3480.5	3480.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917.3	2563.2	1093.58	2996.1	3480.5	3480.5	3480.5	3290.25	0	3290.25	3480.5	3290.25	3290.25	0	3290.25	420.83	3073.58	3073.58	0	0	0	3290.25	0	0	3801	0	13
39	3901	0	0	0	40	1	0	9598.24	1	2	0	3	30	0	0	1	0	0	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	3787.61	3787.61	0	0	0	0	0	0	22.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0.04	0.01	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2996.1	140.82	46.44	3	190.25	707.08	172.28	23.97	903.32	0	0	0	0	0	0	0	0	3597.35	0	3380.69	840.07	0	0	21	840.07	285.92	554.14	840.07	554.14	285.92	420.83	0	0	216.67	3380.69	0	99.32	0	99.32	0	0	0	0	3	0	3787.61	3787.61	0	3787.61	0	0	0	0	840.07	840.07	840.07	0	190.25	903.32	0	0	0	190.25	2757.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3787.61	3787.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030.32	2757.29	1093.58	2996.1	3787.61	3787.61	3787.61	3597.35	0	3597.35	3787.61	3597.35	3597.35	0	3597.35	420.83	3380.69	3380.69	0	0	0	3597.35	0	0	3901	0	13
40	4001	0	0	0	40	1	0	36670.3	1	2	0	3	30	0	0	1	0	0	3	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	12	0	0	0	0	0	0	0	0	4094.71	4094.71	0	0	0	0	0	0	24.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0.01	0	0	0	0.04	0	0	0.01	0	0	0	0.02	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.06	0	0.05	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.08	0	0	0	0	0.01	0	0.11	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0.03	0.01	0	0	0.05	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2996.1	140.82	46.44	3	190.25	707.08	172.28	23.97	903.32	0	0	0	0	0	0	0	0	3904.46	0	3687.79	953.08	0	0	21	953.08	324.8	628.28	953.08	628.28	324.8	420.83	0	0	216.67	3687.79	0	99.32	0	99.32	0	0	0	0	3	0	4094.71	4094.71	0	4094.71	0	0	0	0	953.08	953.08	953.08	0	190.25	903.32	0	0	0	190.25	2951.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4094.71	4094.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143.33	2951.38	1093.58	2996.1	4094.71	4094.71	4094.71	3904.46	0	3904.46	4094.71	3904.46	3904.46	0	3904.46	420.83	3687.79	3687.79	0	0	0	3904.46	0	0	4001	0	13
41	4101	0	0	0	40	1	0	45095.5	1	2	0	3	30	0	0	1	0	0	2	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	0	0	0	0	0	0	0	0	102.37	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.05	0.01	0.01	0	0.01	0.01	0	0.03	0	0	0	0	0.02	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.01	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0.01	0.01	0.01	0.06	0.17	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.42	0	0	0	0	0	0.34	0.03	0	0	0	0	0	0.18	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.09	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.06	0	0	0	0.02	0	0	0	0.03	0	0	0.21	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	801.3	238.79	0	238.79	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	102.37	102.37	0	102.37	0	0	0	0	0	0	0	0	0	0	0	238.79	0	238.79	-136.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.37	0	102.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.79	-136.42	238.79	801.3	102.37	102.37	102.37	102.37	0	102.37	0	0	0	-136.42	-136.42	0	-136.42	0	0	0	0	-136.42	0	0	4101	0	13
42	4201	0	0	0	40	1	0	45095.5	1	2	0	3	30	0	0	1	0	0	2	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	0	0	0	0	0	0	0	0	511.84	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0.02	0.01	0.01	0	0.03	0.04	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0.03	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	801.3	238.79	0	238.79	0	0	0	273.05	0	273.05	0	0	0	21	0	0	0	0	0	0	420.83	0	0	0	273.05	0	0	0	0	0	0	0	0	3	0	511.84	511.84	0	511.84	0	0	0	0	0	0	0	0	0	0	0	238.79	0	238.79	273.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511.84	0	511.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.79	273.05	238.79	801.3	511.84	511.84	511.84	511.84	0	511.84	0	0	0	273.05	273.05	420.83	273.05	273.05	0	0	0	273.05	0	0	4201	0	13
43	4301	0	0	0	40	1	0	35934.1	1	2	0	3	30	0	0	1	0	0	2	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	0	0	0	0	0	0	0	0	921.31	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.03	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.12	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	801.3	238.79	0	238.79	0	0	0	682.52	0	682.52	61.76	0	0	21	61.76	20.78	40.98	61.76	40.98	20.78	420.83	0	0	0	682.52	0	99.32	0	99.32	0	0	0	0	3	0	921.31	921.31	0	921.31	0	0	0	0	61.76	61.76	61.76	0	0	0	0	238.79	0	238.79	620.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921.31	0	921.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.55	620.76	238.79	801.3	921.31	921.31	921.31	921.31	0	921.31	0	0	0	682.52	682.52	420.83	682.52	682.52	0	0	0	682.52	0	0	4301	0	13
44	4401	0	0	0	40	1	0	29597.2	1	2	0	3	30	0	0	1	0	0	2	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	0	0	0	0	0	0	0	0	1330.78	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.02	0	0.02	0.01	0.01	0	0	0	0.01	0	0	0.02	0.01	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0.01	0.01	0	0	0	0	0.48	0	0.02	0.01	0.07	0.05	0.05	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0.01	0	0.04	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.03	0	0	0	0	0	0.09	0	0.03	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	801.3	238.79	0	238.79	0	0	0	1091.99	0	1091.99	158.39	0	0	21	158.39	53.29	105.1	158.39	105.1	53.29	420.83	0	0	0	1091.99	0	99.32	0	99.32	0	0	0	0	3	0	1330.78	1330.78	0	1330.78	0	0	0	0	158.39	158.39	158.39	0	0	0	0	238.79	0	238.79	933.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330.78	0	1330.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397.18	933.6	238.79	801.3	1330.78	1330.78	1330.78	1330.78	0	1330.78	0	0	0	1091.99	1091.99	420.83	1091.99	1091.99	0	0	0	1091.99	0	0	4401	0	13
45	4501	0	0	0	40	1	0	20706.1	1	2	0	3	30	0	0	1	0	0	2	5	5	0	0	0	0	0	0	1	38	4	0	0	0	120	0	15	40	12	36	0	0	0	0	0	0	0	0	0	1740.25	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.02	0.01	0	0.03	0	0	0	0	0	0.01	0.03	0	0	0	0	0	0	0	0	0	0	409.47	0	409.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	801.3	238.79	0	238.79	0	0	0	1501.46	0	1501.46	257.28	0	0	21	257.28	86.62	170.66	257.28	170.66	86.62	420.83	0	0	0	1501.46	0	99.32	0	99.32	0	0	0	0	3	0	1740.25	1740.25	0	1740.25	0	0	0	0	257.28	257.28	257.28	0	0	0	0	238.79	0	238.79	1244.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1740.25	0	1740.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496.06	1244.19	238.79	801.3	1740.25	1740.25	1740.25	1740.25	0	1740.25	0	0	0	1501.46	1501.46	420.83	1501.46	1501.46	0	0	0	1501.46	0	0	4501	0	13
