idhh	idperson	idmother	idfather	idpartner	dag	dgn	dec	dwt	dms	ddilv	ddi	drgn1	drgn2	dct	les	loc	lhwsr_s	liwmy_s	liwwh	liwmy	lunmy	lowas	lte	lfs	lunmy_s	lnu	liwmy_a	lhw	yemmc_s	yemmwmy_s	yempj	yem	ypt	ysebs	yse	yds	yemtj	yivwg	ypp	yprrt	ypt00	yptmp	yseag	yem00	ydses_o	ymwdt	yiy	yot	ypr	yemmy	ysv	yivag00_s	yivag01_s	ysemy	yseev	pdiuc_s	pyr	psuwd	psu	pdi	poaab	poacmdi	poacmoa	poacmsu	poafr	poaot	psu00	psuor	psuot	poa04	pdi00	pdinw	poa00	poa04_s	poacm_s	pdiuc	poa	bwkmcee_s	bwkmcst_s	bwkmceemy_s	bwkmcstmy_s	bcrchdi	bcrdi	bchpl	bcrchdimy	bcrdimy	bchba	bchdied	bched	bchlg	bchlp	bchlp00	bchuc	bfa	bfaam	bfaot	bhl	bot	bsaot	bsapm	bsapmot	bsatm	bsatmpb	byr	bcc	bdinc	bchcc	bed00	bhoot	bunmy	bun	bunmy_s	bun_s	boa13_s	boa14_s	bma	bch00_s	bchlg_s	bchba_s	bched_s	bchdied_s	bchlp00_s	bchbamtna_s	bcrdi_s	bdinc_s	bchba01_s	bchot	bed	bhoen_s	bhoef_s	bho	bho_s	bsapm_s	bsatmen_s	bsatmefna_s	bsatmefmu_s	bsatm_s	bsvca_s	bchcc_s	bed00_s	boa	tscctse_s	tscctee_s	tsccter_s	tintace_s	tscse_s	tscee00_s	tad	tis	tpr	tscee	tscer	tscse	tintami_s	tintaie_s	tscee_s	tscee01_s	tscer_s	tscmapi_s	tscmadi_s	tscma_s	tsctbse_s	tscsepi_s	tscsedi_s	tscseac_s	tscsesi_s	tscseui_s	tscunpi_s	tscundi_s	tscun_s	tscfrpi_s	tscfrsi_s	tscfr_s	tfrhl_s	tkt_s	tintaeear_s	tinta_s	tintb_s	tintacd_s	tintbit_s	tintsit_s	tinit_s	tintbjt_s	tintsjt_s	tintcjt_s	tinjt_s	tintrch_s	tin_s	thl_s	tinxt_s	tag_s	kfb	kivho	kfbcc	i_revloss	i_mc_rand_1	i_mc_rand_2	i_mc_rand_3	i_mc_rand_4	i_lma1	i_lma2	i_lmamy	i_bsatm_rand	i_yse0	i_yseag0	i_ysebs0	i_tsctbeepj	i_tsceepipj	i_tsceedipj	i_tsceesipj	i_tsceepj	i_tsctberpj	i_tscerpipj	i_tscerdipj	i_tsceracpj	i_tsceruipj	i_tscereipj	i_tscerpj	i_tsctbeetj	i_tsceepitj	i_tsceeditj	i_tsceesitj	i_tsceetj	i_tscee00pj	i_tscee00tj	i_tsctbertj	i_tscerpitj	i_tscerditj	i_tsceractj	i_tsceruitj	i_tscereitj	i_tscertj	i_tsctbma	i_farmer	i_KRUS	i_thl_00	i_thl_01	i_thl_02	i_tintchl_00	i_tintchl_01	i_tintchl_02	i_tintapj	i_tintatj	i_tintc_00	i_tintc_01	i_tintbit_01	i_tintsit_01	i_tinit_01	i_tinln_02	i_tintcch	i_tin_parents	i_tintcch_schl	i_tin	i_bch00_ipc	i_bch00_ilt	i_carenursingbenefits	i_months	i_mother	i_bho_ipc	i_bho_ilt	i_bho_ifc	i_bho_rti	i_bho_hlt	i_bho_hh	i_bsapm_mx	amrar	aoc	ald	aldagariv	aldnaar	aldar	xcc	xcd	xcmie	xhc	xhc00	xhchm	xhcmo	xhcmomc	xhcmomi	xhcrt	xhcsc	xhcscel	xhcscht	xhcscrf	xhcscwt	xishl	xivhcrt	xpp	xmp	xhcot	sel_s	sin23_s	sin21_s	sin22_s	sin24_s	sin28_s	sin29_s	sin30_s	sin31_s	sin32_s	sin33_s	sin34_s	sin35_s	sin36_s	sin37_s	sin39_s	sin40_s	sin41_s	sin42_s	sin43_s	sin44_s	sin45_s	sin46_s	sin47_s	sin48_s	sin49_s	sin50_s	sin01_s	sin02_s	ils_earns	ils_origy	ils_bensim	ils_benmt	ils_bennt	ils_pen	ils_origrepy	ils_ben	ils_taxsim	ils_taxin	ils_taxwl	ils_tax	ils_sicot	ils_sicee	ils_sicse	ils_sicct	ils_sicer	ils_sicdy	ils_dispy	ils_base_tin	ils_base_thl	ils_base_tkt	ils_b1_bfa	ils_b1_bed	ils_b1_boa	ils_b1_bsu	ils_b1_bdi	ils_b1_bun	ils_b1_bhl	ils_b1_bho	ils_b1_bsa	ils_b1_bwk	ils_b2_bfaed	ils_b2_penhl	ils_b2_bsaho	ils_b2_bunwk	ils_udb_yem	ils_udb_yse	ils_udb_ypp	ils_udb_ypr	ils_udb_yiy	ils_udb_ypt	ils_udb_yot	ils_udb_xmp	ils_udb_kfbcc	ils_udb_boa	ils_udb_bsu	ils_udb_bdi	ils_udb_bun	ils_udb_bhl	ils_udb_bed	ils_udb_bsa	ils_udb_bfa	ils_udb_bho	ils_udb_tpr	ils_udb_tis	ils_udb_yds	il_ywk	il_tinktiy	il_thl	il_tin_child_thres	il_tinty	il_tintb	il_tintb_ws	il_tin_lin	il_bfamt	il_bnb	il_bhomt	il_ben0	il_dpisilc	il_poacm	il_carenursingbenefits	il_bhomx	il_bsamt	il_bsatm	il_bsvca_inctest	tu_fambu_pl_HeadID	tu_fambu_pl_IsDependentChild	tu_fambu_pl_IsPartner
23	2302	0	0	2301	52	1	0	10	2	0	0	0	0	0	3	7	0	0	0	0	0	0	0	15	0	0	0	45	0	0	1819.58	1819.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249.46	0	326.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570.11	0	1570.11	0	85.35	1395.75	237.28	43.76	96.01	0	101.48	141.31	0	0	0	0	0	0	0	0	0	0	0.65	0.16	0.67	0	0	0	0	1819.58	177.59	27.29	44.58	249.46	1819.58	177.59	118.27	30.39	0	0	326.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.31	141.31	0	121.68	121.68	0	0	0	0	43.76	1570.11	266.92	101.48	0	0	170.69	0	181.36	1184.79	674	0	12	0	1305.99	1563.6	0.15	0	45	0.44	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021.58	-1021.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1819.58	1819.58	0	0	0	0	1819.58	0	242.79	242.79	0	242.79	0	249.46	0	0	326.25	249.46	1327.33	1819.58	1819.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1819.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492.25	1327.33	1819.58	0	1570.11	1570.11	1819.58	1570.11	1570.11	0	1327.33	0	1570.11	0	1327.33	0	0	0	1327.33	1327.33	0	2302	0	0
23	2303	2301	2302	0	21	1	0	10	1	0	0	0	0	0	3	7	0	0	0	0	0	0	0	15	0	0	0	37	0	0	1305.43	1305.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.97	0	0	0	0	0	0	0	0	178.97	178.97	234.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305.43	1305.43	0	0	0	0	0	0	0	0	0	0	0	101.38	0	0	0	0	0	0	0	0	0	0	0.87	0.89	0.91	0	0	0	0	1305.43	127.41	19.58	31.98	178.97	1305.43	127.41	84.85	21.8	0	0	234.06	0	0	0	0	0	178.97	0	0	0	0	0	0	0	0	0	0	0	101.38	101.38	0	87.3	87.3	0	1305.43	0	0	0	0	0	0	0	0	0	0	0	1025.07	674	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351.07	-351.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305.43	1305.43	0	0	0	0	1305.43	0	101.38	101.38	0	101.38	0	178.97	0	0	234.06	178.97	1025.07	1305.43	1305.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.35	1025.07	1305.43	0	1126.45	1305.43	1305.43	0	1305.43	0	1025.07	0	1126.45	0	1025.07	0	0	0	1025.07	1025.07	0	2303	0	0
24	2401	0	0	0	45	1	0	10	4	0	0	0	0	0	3	2	0	0	0	0	0	0	0	15	0	0	0	45	0	0	3227.6	3227.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111.71	0	0	7.51	0	173.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.5	0	661.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2785.09	0	2785.09	0	-15.24	1392.55	236.73	43.76	170.1	15.24	154.86	250.66	0	0	0	0	0	0	0	0	0	0	0.93	0.71	0.5	0	0	0	0	3227.6	315.01	48.41	79.08	442.5	3227.6	315.01	209.79	53.9	79.08	3.23	661.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.66	250.66	0	215.84	215.84	0	0	0	0	43.76	2785.09	473.47	213.86	0	185.34	-15.24	658.35	154.86	793.19	674	0	12	0	1023.56	1563.6	0.12	0	45	0.44	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	650.67	0.38	0.59	0	0	0	0.03	357.57	293.1	293.1	111.71	173.88	0	0	0	7.51	0	0	0	0	0	0	0	0	3227.6	3227.6	1343.1	293.1	1050	0	3227.6	1343.1	405.52	405.52	0	405.52	0	442.5	0	0	661.01	442.5	3722.67	3227.6	3227.6	0	1285.59	57.51	0	0	0	0	0	0	0	0	1343.1	0	0	0	3227.6	0	0	0	0	0	0	0	0	0	0	0	0	0	57.51	0	1285.59	0	0	848.02	3722.67	3227.6	0	2785.09	2785.09	3227.6	2785.09	2785.09	0	2379.57	0	3070.68	1343.1	3722.67	0	0	0	2665.16	2665.16	0	2401	0	0
24	2402	0	2401	0	8	1	2	10	1	0	0	0	0	0	6	-1	0	0	0	0	0	0	0	15	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0.79	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	1	0
24	2403	0	2401	0	16	1	4	10	1	0	0	0	0	0	6	-1	0	0	0	0	0	0	0	15	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.92	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	1	0
25	2501	0	0	2502	85	1	0	10	1	0	0	0	0	0	4	-1	0	0	0	0	0	0	0	15	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599.39	0	239.66	0	1599.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	104.24	104.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807.87	0	1807.87	307.34	123.47	0	0	0	0	0	123.47	162.71	0	0	0	0	0	0	0	0	0	0	0.43	0.64	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.71	162.71	0	140.11	140.11	0	0	0	43.76	43.76	1807.87	307.34	123.47	0	0	254.88	0	123.47	1313.22	674	0	12	0	1642.33	1563.6	0.15	0	40	0.5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639.22	-639.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448.14	0	448.14	1599.39	1599.39	2047.53	286.18	286.18	0	286.18	0	0	0	0	0	0	1761.36	1807.87	1807.87	0	0	0	2047.53	0	0	0	0	0	0	0	0	2047.53	0	0	0	0	0	0	0	0	0	0	0	2047.53	0	0	0	0	0	0	0	0	0	286.18	1761.36	0	0	1807.87	1599.39	1807.87	1807.87	1807.87	0	1313.22	1839.05	1599.39	448.14	1761.36	1599.39	0	0	1552.88	1552.88	1599.39	2501	0	0
25	2502	0	0	2501	71	0	0	10	5	0	0	0	0	0	7	-1	0	0	0	0	0	0	0	15	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1685.26	0	0	0	1685.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	104.24	104.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1685.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893.74	0	1893.74	321.94	131.41	0	0	0	0	0	131.41	170.44	0	0	0	0	0	0	0	0	0	0	0.62	0.69	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.44	170.44	0	146.77	146.77	0	0	0	43.76	43.76	1893.74	321.94	131.41	0	0	0	0	131.41	1383.41	674	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709.41	-709.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.48	0	208.48	1685.26	1685.26	1893.74	301.85	301.85	0	301.85	0	0	0	0	0	0	1591.89	1893.74	1893.74	0	0	0	1893.74	0	0	0	0	0	0	0	0	1893.74	0	0	0	0	0	0	0	0	0	0	0	1893.74	0	0	0	0	0	0	0	0	0	301.85	1591.89	0	0	1893.74	1685.26	1893.74	1893.74	1893.74	0	1383.41	1685.26	1685.26	208.48	1591.89	1685.26	0	0	1383.41	1383.41	1685.26	2501	0	1
26	2601	0	0	2602	50	1	0	10	2	0	0	0	0	0	2	6	0	0	0	0	0	0	0	15	0	0	0	42	0	0	0	0	0	274.05	274.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	163.97	67.2	14.03	20.58	0	0	0	0	0	0	0	0	0	0	0	8.27	0	8.27	0	0	4.14	0.7	0.7	0	0	0	381.81	0	0	0	0	0	0	0	0	0	0	0.64	0.67	0.69	0	274.05	0	274.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381.81	0	381.81	328.78	0	328.78	0	0	0	0	0	0	0	0	0	0	0	0	-186.77	674	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.05	274.05	0	0	0	0	274.05	0	381.81	381.81	0	381.81	0	0	265.78	0	0	265.78	-373.54	274.05	274.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647.59	-373.54	274.05	0	0	8.27	274.05	8.27	0	8.27	-373.54	0	8.27	0	-373.54	0	0	0	-373.54	-373.54	0	2601	0	0
26	2602	0	0	2601	53	0	0	10	2	0	0	0	0	0	9	6	0	0	0	0	0	0	0	15	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14	0.7	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.49	0.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2601	0	1
26	2603	2602	2601	0	27	1	0	10	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	15	0	0	0	56	0	0	720.15	720.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392.05	696.03	18.91	714.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.73	0	129.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621.41	0	621.41	105.64	0	0	0	0	0	0	0	55.93	0	0	0	0	0	0	0	0	0	0	0.34	0.39	0.44	0	0	0	0	720.15	70.29	10.8	17.64	98.73	720.15	70.29	46.81	12.03	0	0	129.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.93	55.93	0	48.16	48.16	0	0	0	105.64	105.64	621.41	105.64	0	0	0	0	0	0	565.49	674	0	12	0	209.9	1563.6	0.12	0	45	0.44	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720.15	720.15	714.94	714.94	0	0	720.15	714.94	55.93	55.93	0	55.93	0	98.73	0	0	129.12	98.73	1280.43	720.15	720.15	0	0	0	0	0	0	0	0	0	714.94	0	0	0	714.94	0	720.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714.94	0	0	0	154.66	1280.43	720.15	0	621.41	621.41	720.15	621.41	621.41	0	565.49	0	621.41	714.94	1280.43	0	0	0	565.49	565.49	714.94	2603	0	0
27	2701	0	0	2702	57	1	0	10	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	15	0	0	0	60	0	0	0	0	0	696.53	696.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007.06	503.53	13.68	517.21	0	0	0	0	0	0	0	0	265.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	163.97	67.2	14.03	20.58	0	0	0	0	0	0	0	0	0	0	0	430.75	0	430.75	0	0	215.38	36.61	36.61	0	0	0	381.81	0	0	0	0	0	0	0	0	0	0	0.01	0.27	0.53	0	696.53	0	696.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381.81	0	381.81	328.78	0	328.78	0	0	0	0	0	0	0	0	0	0	0	0	24.47	674	0	12	0	215.38	1563.6	0.12	0	40	0.5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696.53	696.53	517.21	517.21	0	0	696.53	517.21	381.81	381.81	0	381.81	0	0	265.78	0	0	265.78	566.15	696.53	696.53	0	0	0	0	0	0	0	0	0	517.21	0	0	0	517.21	0	0	696.53	0	0	0	0	0	0	0	0	0	0	0	0	0	517.21	0	0	0	647.59	566.15	696.53	0	0	430.75	696.53	430.75	0	430.75	48.94	0	430.75	517.21	566.15	0	0	0	48.94	48.94	517.21	2701	0	0
27	2702	0	0	2701	55	0	0	10	2	0	0	0	0	0	9	6	0	0	0	0	0	0	0	15	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215.38	36.61	36.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0.55	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2701	0	1
